komentar,rating,timestamp,sentimen,clean
puas...belanja happy,5,2026-04-19 03:52:25,positif,puasbelanja happy
Belanja di shopee proses pemesanan dan pengiriman barang semakin mudah dan memuaskan,5,2026-04-19 03:43:50,positif,belanja di shopee proses pemesanan dan pengiriman barang semakin mudah dan memuaskan
Setiap sukai gambar barang selalu server error..mohon d perbaiki,5,2026-04-19 03:43:46,positif,setiap sukai gambar barang selalu server errormohon d perbaiki
bagus,5,2026-04-19 03:39:21,positif,bagus
ada perbaikan dari segi expedisi.,5,2026-04-19 03:38:59,positif,ada perbaikan dari segi expedisi
"Utk pengguna shopee (terutama seller), OFF-kan ekspedisi SPX. Nggak amanah. Kemarin overload (menjelang lebaran sampai stlh lebaran, 2 minggu lamanya), paket udh tiba di DC bukannya segera dikirim ke penerima mlh diretur ke penjual (mana 1 hr langsung sampai). Sekarang kirim ke luar Jawa, sedari tgl 16-19 nggak ada kbr/update status pengiriman",1,2026-04-19 03:37:39,negatif,utk pengguna shopee terutama seller offkan ekspedisi spx nggak amanah kemarin overload menjelang lebaran sampai stlh lebaran  minggu lamanya paket udh tiba di dc bukannya segera dikirim ke penerima mlh diretur ke penjual mana  hr langsung sampai sekarang kirim ke luar jawa sedari tgl  nggak ada kbrupdate status pengiriman
sangat baik,5,2026-04-19 03:29:23,positif,sangat baik
paling benci dengan spx express pengiriman lelet barang tidak aman pasti ada penyok/pecah... setelah pernah lihat gudang sortir spx pantas barang banyak pecah karna para pekerja menginjak2 paket2 dan sangat sembarangan,1,2026-04-19 03:21:43,negatif,paling benci dengan spx express pengiriman lelet barang tidak aman pasti ada penyokpecah setelah pernah lihat gudang sortir spx pantas barang banyak pecah karna para pekerja menginjak paket dan sangat sembarangan
knapa klo pencet tombol pesanan gak bsa tolong di perbaiki lagi,1,2026-04-19 03:19:41,negatif,knapa klo pencet tombol pesanan gak bsa tolong di perbaiki lagi
aplikasi nya sangat bagus buat mesan apa saja👍,5,2026-04-19 03:19:04,positif,aplikasi nya sangat bagus buat mesan apa saja
filim forno,5,2026-04-19 03:17:36,positif,filim forno
"udah sebulan permasalahan saya tidak selesai dana saya belum dicair""kan",1,2026-04-19 03:16:22,negatif,udah sebulan permasalahan saya tidak selesai dana saya belum dicairkan
"MUDAHKAN SEGALANYA,JADIKAN YG LEBIH BAIK LAGI, ANTI RUWET, ANTI GANGGUAN...AMAN TERKENDALI...TERPERCAYA TOP ONE PRIMA OK ⭐⭐⭐⭐⭐✍👍👍🌏🇲🇨",5,2026-04-19 03:12:41,positif,mudahkan segalanyajadikan yg lebih baik lagi anti ruwet anti gangguanaman terkendaliterpercaya top one prima ok 
diskon,5,2026-04-19 03:06:13,positif,diskon
mntap,5,2026-04-19 03:04:15,positif,mntap
belanja disini murah murah terus semua barang yang kita cari juga ada disini .,5,2026-04-19 03:02:12,positif,belanja disini murah murah terus semua barang yang kita cari juga ada disini 
bagus sangat membantu berbelanja.,5,2026-04-19 02:42:31,positif,bagus sangat membantu berbelanja
"bisa gasih jangan iklan mulu tiap d apk lain selalu aja masuk ke shopee, lagian ni shopee udah ternama bgt gausah lah berlebihan ke gini",2,2026-04-19 02:37:40,negatif,bisa gasih jangan iklan mulu tiap d apk lain selalu aja masuk ke shopee lagian ni shopee udah ternama bgt gausah lah berlebihan ke gini
